nutrition,value,measure,food_product,pr_daily_norm
"Fatty acids, total saturated",0.067,G,cabbage,0.335
Protein,2.41,G,cake,4.82
Total lipid (fat),17.5,G,cake,22.435897435897438
"Carbohydrate, by difference",52.5,G,cake,19.090909090909093
"Fiber, total dietary",0.9,G,cake,3.214285714285715
"Calcium, Ca",71.0,MG,cake,5.461538461538462
"Iron, Fe",0.9,MG,cake,5.0
"Magnesium, Mg",5.0,MG,cake,1.1904761904761905
"Phosphorus, P",109,MG,cake,8.72
"Potassium, K",52.0,MG,cake,1.1063829787234043
"Sodium, Na",280,MG,cake,12.173913043478262
"Zinc, Zn",0.26,MG,cake,2.3636363636363638
"Copper, Cu",0.025,MG,cake,2.777777777777778
"Selenium, Se",4.4,UG,cake,8.0
"Vitamin A, RAE",21.0,UG,cake,2.3333333333333335
Vitamin E (alpha-tocopherol),2.43,MG,cake,16.2
Vitamin D (D2 + D3),0.3,UG,cake,1.5
"Vitamin C, total ascorbic acid",0.2,MG,cake,0.2222222222222222
Thiamin,0.06,MG,cake,5.0
Riboflavin,0.23,MG,cake,17.692307692307693
Niacin,0.645,MG,cake,4.03125
Vitamin B-6,0.029,MG,cake,1.7058823529411766
Vitamin B-12,0.12,UG,cake,5.0
"Choline, total",33.1,MG,cake,6.0181818181818185
Vitamin K (phylloquinone),16.0,UG,cake,13.333333333333334
"Folate, DFE",29.0,UG,cake,7.249999999999999
Cholesterol,47.0,MG,cake,15.666666666666668
"Fatty acids, total saturated",3.22,G,cake,16.1
Protein,1.34,G,calvados,2.68
Total lipid (fat),2.15,G,calvados,2.7564102564102564
"Carbohydrate, by difference",29.6,G,calvados,10.763636363636364
"Fiber, total dietary",1.8,G,calvados,6.42857142857143
"Calcium, Ca",39.0,MG,calvados,3.0
"Iron, Fe",0.12,MG,calvados,0.6666666666666666
"Magnesium, Mg",8.0,MG,calvados,1.9047619047619049
"Phosphorus, P",37.0,MG,calvados,2.96
"Potassium, K",134,MG,calvados,2.851063829787234
"Sodium, Na",62.0,MG,calvados,2.6956521739130435
"Zinc, Zn",0.14,MG,calvados,1.2727272727272727
"Copper, Cu",0.025,MG,calvados,2.777777777777778
"Selenium, Se",0.4,UG,calvados,0.7272727272727273
"Vitamin A, RAE",5.0,UG,calvados,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,calvados,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,calvados,0.0
"Vitamin C, total ascorbic acid",3.6,MG,calvados,4.0
Thiamin,0.038,MG,calvados,3.166666666666667
Riboflavin,0.084,MG,calvados,6.461538461538462
Niacin,0.105,MG,calvados,0.65625
Vitamin B-6,0.045,MG,calvados,2.6470588235294117
Vitamin B-12,0.08,UG,calvados,3.3333333333333335
"Choline, total",4.6,MG,calvados,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,calvados,1.7500000000000002
"Folate, DFE",3.0,UG,calvados,0.75
Cholesterol,2.0,MG,calvados,0.6666666666666667
"Fatty acids, total saturated",0.64,G,calvados,3.2
Protein,1.34,G,campari,2.68
Total lipid (fat),2.15,G,campari,2.7564102564102564
"Carbohydrate, by difference",29.6,G,campari,10.763636363636364
"Fiber, total dietary",1.8,G,campari,6.42857142857143
"Calcium, Ca",39.0,MG,campari,3.0
"Iron, Fe",0.12,MG,campari,0.6666666666666666
"Magnesium, Mg",8.0,MG,campari,1.9047619047619049
"Phosphorus, P",37.0,MG,campari,2.96
"Potassium, K",134,MG,campari,2.851063829787234
"Sodium, Na",62.0,MG,campari,2.6956521739130435
"Zinc, Zn",0.14,MG,campari,1.2727272727272727
"Copper, Cu",0.025,MG,campari,2.777777777777778
"Selenium, Se",0.4,UG,campari,0.7272727272727273
"Vitamin A, RAE",5.0,UG,campari,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,campari,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,campari,0.0
"Vitamin C, total ascorbic acid",3.6,MG,campari,4.0
Thiamin,0.038,MG,campari,3.166666666666667
Riboflavin,0.084,MG,campari,6.461538461538462
Niacin,0.105,MG,campari,0.65625
Vitamin B-6,0.045,MG,campari,2.6470588235294117
Vitamin B-12,0.08,UG,campari,3.3333333333333335
"Choline, total",4.6,MG,campari,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,campari,1.7500000000000002
"Folate, DFE",3.0,UG,campari,0.75
Cholesterol,2.0,MG,campari,0.6666666666666667
"Fatty acids, total saturated",0.64,G,campari,3.2
Protein,1.34,G,candy,2.68
Total lipid (fat),2.15,G,candy,2.7564102564102564
"Carbohydrate, by difference",29.6,G,candy,10.763636363636364
"Fiber, total dietary",1.8,G,candy,6.42857142857143
"Calcium, Ca",39.0,MG,candy,3.0
"Iron, Fe",0.12,MG,candy,0.6666666666666666
"Magnesium, Mg",8.0,MG,candy,1.9047619047619049
"Phosphorus, P",37.0,MG,candy,2.96
"Potassium, K",134,MG,candy,2.851063829787234
"Sodium, Na",62.0,MG,candy,2.6956521739130435
"Zinc, Zn",0.14,MG,candy,1.2727272727272727
"Copper, Cu",0.025,MG,candy,2.777777777777778
"Selenium, Se",0.4,UG,candy,0.7272727272727273
"Vitamin A, RAE",5.0,UG,candy,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,candy,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,candy,0.0
"Vitamin C, total ascorbic acid",3.6,MG,candy,4.0
Thiamin,0.038,MG,candy,3.166666666666667
Riboflavin,0.084,MG,candy,6.461538461538462
Niacin,0.105,MG,candy,0.65625
Vitamin B-6,0.045,MG,candy,2.6470588235294117
Vitamin B-12,0.08,UG,candy,3.3333333333333335
"Choline, total",4.6,MG,candy,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,candy,1.7500000000000002
"Folate, DFE",3.0,UG,candy,0.75
Cholesterol,2.0,MG,candy,0.6666666666666667
"Fatty acids, total saturated",0.64,G,candy,3.2
Protein,0.33,G,cantaloupe,0.66
Total lipid (fat),0.11,G,cantaloupe,0.14102564102564102
"Carbohydrate, by difference",15.6,G,cantaloupe,5.672727272727272
"Fiber, total dietary",0.3,G,cantaloupe,1.0714285714285714
"Calcium, Ca",5.0,MG,cantaloupe,0.38461538461538464
"Iron, Fe",0.16,MG,cantaloupe,0.8888888888888888
"Magnesium, Mg",6.0,MG,cantaloupe,1.4285714285714286
"Phosphorus, P",7.0,MG,cantaloupe,0.5599999999999999
"Potassium, K",57.0,MG,cantaloupe,1.2127659574468086
"Sodium, Na",13.0,MG,cantaloupe,0.5652173913043479
"Zinc, Zn",0.18,MG,cantaloupe,1.6363636363636362
"Copper, Cu",0.036,MG,cantaloupe,3.9999999999999996
"Selenium, Se",0.8,UG,cantaloupe,1.4545454545454546
"Vitamin A, RAE",69.0,UG,cantaloupe,7.666666666666666
Vitamin E (alpha-tocopherol),0.02,MG,cantaloupe,0.13333333333333333
Vitamin D (D2 + D3),0.0,UG,cantaloupe,0.0
"Vitamin C, total ascorbic acid",3.0,MG,cantaloupe,3.3333333333333335
Thiamin,0.016,MG,cantaloupe,1.3333333333333335
Riboflavin,0.012,MG,cantaloupe,0.923076923076923
Niacin,0.249,MG,cantaloupe,1.55625
Vitamin B-6,0.014,MG,cantaloupe,0.823529411764706
Vitamin B-12,0.0,UG,cantaloupe,0.0
"Choline, total",3.0,MG,cantaloupe,0.5454545454545455
Vitamin K (phylloquinone),1.1,UG,cantaloupe,0.9166666666666666
"Folate, DFE",3.0,UG,cantaloupe,0.75
Cholesterol,0.0,MG,cantaloupe,0.0
"Fatty acids, total saturated",0.02,G,cantaloupe,0.1
Vitamin E (alpha-tocopherol),0.88,MG,capers,5.866666666666666
"Vitamin A, RAE",7.0,UG,capers,0.7777777777777778
Vitamin K (phylloquinone),24.6,UG,capers,20.5
Total lipid (fat),0.86,G,capers,1.1025641025641024
"Carbohydrate, by difference",4.89,G,capers,1.778181818181818
Niacin,0.652,MG,capers,4.075
Vitamin B-6,0.023,MG,capers,1.352941176470588
Thiamin,0.018,MG,capers,1.5
Riboflavin,0.139,MG,capers,10.692307692307693
"Fatty acids, total saturated",0.233,G,capers,1.165
Protein,2.36,G,capers,4.72
Vitamin B-12,0.0,UG,capers,0.0
Cholesterol,0.0,MG,capers,0.0
"Vitamin C, total ascorbic acid",4.3,MG,capers,4.777777777777778
"Fiber, total dietary",3.2,G,capers,11.428571428571429
"Iron, Fe",1.67,MG,capers,9.277777777777779
"Magnesium, Mg",33.0,MG,capers,7.857142857142857
"Phosphorus, P",10.0,MG,capers,0.8
"Copper, Cu",0.374,MG,capers,41.55555555555556
"Calcium, Ca",40.0,MG,capers,3.076923076923077
"Potassium, K",40.0,MG,capers,0.851063829787234
"Zinc, Zn",0.32,MG,capers,2.909090909090909
"Sodium, Na",2350.0,MG,capers,102.17391304347827
"Folate, DFE",23.0,UG,capers,5.75
"Choline, total",6.5,MG,capers,1.1818181818181819
Vitamin D (D2 + D3),0.0,UG,capers,0.0
Pantothenic acid,0.027,MG,capers,0.54
"Selenium, Se",1.2,UG,capers,2.1818181818181817
"Manganese, Mn",0.078,MG,capers,3.3913043478260874
"Folate, DFE",18.0,UG,caraway,4.5
"Vitamin A, RAE",271,UG,caraway,30.11111111111111
Protein,25.2,G,caraway,50.4
"Fiber, total dietary",0.0,G,caraway,0.0
"Iron, Fe",0.64,MG,caraway,3.5555555555555554
"Magnesium, Mg",22.0,MG,caraway,5.238095238095238
"Phosphorus, P",490,MG,caraway,39.2
"Sodium, Na",690,MG,caraway,30.0
"Copper, Cu",0.024,MG,caraway,2.6666666666666665
"Manganese, Mn",0.021,MG,caraway,0.9130434782608696
"Vitamin C, total ascorbic acid",0.0,MG,caraway,0.0
Thiamin,0.031,MG,caraway,2.5833333333333335
Riboflavin,0.45,MG,caraway,34.61538461538461
Vitamin B-12,0.27,UG,caraway,11.250000000000002
Cholesterol,93.0,MG,caraway,31.0
"Fatty acids, total saturated",18.6,G,caraway,93.0
Total lipid (fat),29.2,G,caraway,37.43589743589744
"Carbohydrate, by difference",3.06,G,caraway,1.1127272727272728
"Calcium, Ca",673,MG,caraway,51.76923076923077
"Potassium, K",93.0,MG,caraway,1.978723404255319
"Zinc, Zn",2.94,MG,caraway,26.727272727272727
Niacin,0.18,MG,caraway,1.125
Pantothenic acid,0.19,MG,caraway,3.8
Vitamin B-6,0.074,MG,caraway,4.352941176470588
"Selenium, Se",14.5,UG,caraway,26.36363636363636
"Iron, Fe",14.0,MG,cardamom,77.77777777777779
"Magnesium, Mg",229,MG,cardamom,54.52380952380952
"Phosphorus, P",178,MG,cardamom,14.24
"Sodium, Na",18.0,MG,cardamom,0.782608695652174
"Copper, Cu",0.383,MG,cardamom,42.55555555555556
"Manganese, Mn",28.0,MG,cardamom,1217.3913043478262
Protein,10.8,G,cardamom,21.6
"Fatty acids, total saturated",0.68,G,cardamom,3.4000000000000004
Riboflavin,0.182,MG,cardamom,13.999999999999998
Vitamin B-12,0.0,UG,cardamom,0.0
Cholesterol,0.0,MG,cardamom,0.0
Total lipid (fat),6.7,G,cardamom,8.58974358974359
"Carbohydrate, by difference",68.5,G,cardamom,24.90909090909091
"Calcium, Ca",383,MG,cardamom,29.46153846153846
"Potassium, K",1120.0,MG,cardamom,23.829787234042556
"Zinc, Zn",7.47,MG,cardamom,67.9090909090909
Niacin,1.1,MG,cardamom,6.875000000000001
"Fiber, total dietary",28.0,G,cardamom,100.0
"Vitamin C, total ascorbic acid",21.0,MG,cardamom,23.333333333333332
Vitamin B-6,0.23,MG,cardamom,13.529411764705884
"Vitamin A, RAE",0.0,UG,cardamom,0.0
Thiamin,0.198,MG,cardamom,16.5
Vitamin D (D2 + D3),0.0,UG,cardamom,0.0
Protein,0.84,G,carrot,1.68
Total lipid (fat),16.0,G,carrot,20.51282051282051
"Carbohydrate, by difference",8.16,G,carrot,2.9672727272727273
"Fiber, total dietary",2.1,G,carrot,7.5
"Calcium, Ca",24.0,MG,carrot,1.8461538461538463
"Iron, Fe",0.26,MG,carrot,1.4444444444444446
"Magnesium, Mg",9.0,MG,carrot,2.142857142857143
"Phosphorus, P",28.0,MG,carrot,2.2399999999999998
"Potassium, K",224,MG,carrot,4.76595744680851
"Sodium, Na",178,MG,carrot,7.739130434782608
"Zinc, Zn",0.19,MG,carrot,1.7272727272727273
"Copper, Cu",0.037,MG,carrot,4.111111111111111
"Selenium, Se",0.6,UG,carrot,1.0909090909090908
"Vitamin A, RAE",532,UG,carrot,59.111111111111114
Vitamin E (alpha-tocopherol),1.14,MG,carrot,7.6
Vitamin D (D2 + D3),0.0,UG,carrot,0.0
"Vitamin C, total ascorbic acid",6.4,MG,carrot,7.111111111111111
Thiamin,0.047,MG,carrot,3.916666666666667
Riboflavin,0.045,MG,carrot,3.4615384615384612
Niacin,0.638,MG,carrot,3.9875000000000003
Vitamin B-6,0.097,MG,carrot,5.705882352941177
Vitamin B-12,0.02,UG,carrot,0.8333333333333334
"Choline, total",13.4,MG,carrot,2.4363636363636365
Vitamin K (phylloquinone),43.0,UG,carrot,35.833333333333336
"Folate, DFE",14.0,UG,carrot,3.5000000000000004
Cholesterol,9.0,MG,carrot,3.0
"Fatty acids, total saturated",2.49,G,carrot,12.450000000000001
Protein,12.1,G,cashew,24.2
Total lipid (fat),53.0,G,cashew,67.94871794871796
"Carbohydrate, by difference",30.3,G,cashew,11.01818181818182
"Fiber, total dietary",3.0,G,cashew,10.714285714285714
"Calcium, Ca",61.0,MG,cashew,4.6923076923076925
"Iron, Fe",4.91,MG,cashew,27.27777777777778
"Magnesium, Mg",206,MG,cashew,49.047619047619044
"Phosphorus, P",388,MG,cashew,31.04
"Potassium, K",447,MG,cashew,9.51063829787234
"Sodium, Na",295,MG,cashew,12.82608695652174
"Zinc, Zn",4.43,MG,cashew,40.27272727272727
"Copper, Cu",1.76,MG,cashew,195.55555555555554
"Selenium, Se",9.3,UG,cashew,16.90909090909091
"Vitamin A, RAE",0.0,UG,cashew,0.0
Vitamin E (alpha-tocopherol),5.08,MG,cashew,33.86666666666667
Vitamin D (D2 + D3),0.0,UG,cashew,0.0
"Vitamin C, total ascorbic acid",0.0,MG,cashew,0.0
Thiamin,0.158,MG,cashew,13.166666666666668
Riboflavin,0.159,MG,cashew,12.230769230769232
Niacin,1.11,MG,cashew,6.937500000000001
Vitamin B-6,0.203,MG,cashew,11.941176470588237
Vitamin B-12,0.0,UG,cashew,0.0
"Choline, total",48.3,MG,cashew,8.781818181818181
Vitamin K (phylloquinone),30.3,UG,cashew,25.25
"Folate, DFE",55.0,UG,cashew,13.750000000000002
Cholesterol,0.0,MG,cashew,0.0
"Fatty acids, total saturated",10.6,G,cashew,53.0
Protein,4.02,G,cauliflower,8.04
Total lipid (fat),12.9,G,cauliflower,16.538461538461537
"Carbohydrate, by difference",21.9,G,cauliflower,7.963636363636363
"Fiber, total dietary",1.6,G,cauliflower,5.714285714285714
"Calcium, Ca",33.0,MG,cauliflower,2.5384615384615383
"Iron, Fe",1.67,MG,cauliflower,9.277777777777779
"Magnesium, Mg",14.0,MG,cauliflower,3.3333333333333335
"Phosphorus, P",56.0,MG,cauliflower,4.4799999999999995
"Potassium, K",159,MG,cauliflower,3.3829787234042556
"Sodium, Na",326,MG,cauliflower,14.173913043478262
"Zinc, Zn",0.36,MG,cauliflower,3.2727272727272725
"Copper, Cu",0.062,MG,cauliflower,6.888888888888889
"Selenium, Se",5.5,UG,cauliflower,10.0
"Vitamin A, RAE",5.0,UG,cauliflower,0.5555555555555556
Vitamin E (alpha-tocopherol),2.01,MG,cauliflower,13.399999999999999
Vitamin D (D2 + D3),0.1,UG,cauliflower,0.5
"Vitamin C, total ascorbic acid",16.1,MG,cauliflower,17.88888888888889
Thiamin,0.265,MG,cauliflower,22.083333333333336
Riboflavin,0.147,MG,cauliflower,11.307692307692307
Niacin,1.94,MG,cauliflower,12.125
Vitamin B-6,0.086,MG,cauliflower,5.0588235294117645
Vitamin B-12,0.04,UG,cauliflower,1.6666666666666667
"Choline, total",29.1,MG,cauliflower,5.290909090909091
Vitamin K (phylloquinone),19.5,UG,cauliflower,16.25
"Folate, DFE",84.0,UG,cauliflower,21.0
Cholesterol,11.0,MG,cauliflower,3.6666666666666665
"Fatty acids, total saturated",1.85,G,cauliflower,9.25
Protein,24.6,G,caviar,49.2
Total lipid (fat),17.9,G,caviar,22.94871794871795
"Carbohydrate, by difference",4.0,G,caviar,1.4545454545454546
"Fiber, total dietary",0.0,G,caviar,0.0
"Calcium, Ca",275,MG,caviar,21.153846153846153
"Iron, Fe",11.9,MG,caviar,66.11111111111111
"Magnesium, Mg",300,MG,caviar,71.42857142857143
"Phosphorus, P",356,MG,caviar,28.48
"Potassium, K",181,MG,caviar,3.851063829787234
"Sodium, Na",1500.0,MG,caviar,65.21739130434783
"Zinc, Zn",0.95,MG,caviar,8.636363636363637
"Copper, Cu",0.11,MG,caviar,12.222222222222221
"Selenium, Se",65.5,UG,caviar,119.0909090909091
"Vitamin A, RAE",271,UG,caviar,30.11111111111111
Vitamin E (alpha-tocopherol),1.89,MG,caviar,12.6
Vitamin D (D2 + D3),2.9,UG,caviar,14.499999999999998
"Vitamin C, total ascorbic acid",0.0,MG,caviar,0.0
Thiamin,0.19,MG,caviar,15.833333333333336
Riboflavin,0.62,MG,caviar,47.692307692307686
Niacin,0.12,MG,caviar,0.75
Vitamin B-6,0.32,MG,caviar,18.823529411764707
Vitamin B-12,20.0,UG,caviar,833.3333333333334
"Choline, total",491,MG,caviar,89.27272727272727
Vitamin K (phylloquinone),0.6,UG,caviar,0.5
"Folate, DFE",50.0,UG,caviar,12.5
Cholesterol,588,MG,caviar,196.0
"Fatty acids, total saturated",4.06,G,caviar,20.299999999999997
Protein,0.69,G,celery,1.38
Total lipid (fat),0.17,G,celery,0.21794871794871798
"Carbohydrate, by difference",2.97,G,celery,1.08
"Fiber, total dietary",1.6,G,celery,5.714285714285714
"Calcium, Ca",40.0,MG,celery,3.076923076923077
"Iron, Fe",0.2,MG,celery,1.1111111111111112
"Magnesium, Mg",11.0,MG,celery,2.619047619047619
"Phosphorus, P",24.0,MG,celery,1.92
"Potassium, K",260,MG,celery,5.531914893617021
"Sodium, Na",80.0,MG,celery,3.4782608695652173
"Zinc, Zn",0.13,MG,celery,1.1818181818181819
"Copper, Cu",0.035,MG,celery,3.888888888888889
"Selenium, Se",0.4,UG,celery,0.7272727272727273
"Vitamin A, RAE",22.0,UG,celery,2.4444444444444446
Vitamin E (alpha-tocopherol),0.27,MG,celery,1.8000000000000003
Vitamin D (D2 + D3),0.0,UG,celery,0.0
"Vitamin C, total ascorbic acid",3.1,MG,celery,3.4444444444444446
Thiamin,0.021,MG,celery,1.7500000000000002
Riboflavin,0.057,MG,celery,4.384615384615385
Niacin,0.32,MG,celery,2.0
Vitamin B-6,0.074,MG,celery,4.352941176470588
Vitamin B-12,0.0,UG,celery,0.0
"Choline, total",6.1,MG,celery,1.1090909090909091
Vitamin K (phylloquinone),29.3,UG,celery,24.416666666666668
"Folate, DFE",36.0,UG,celery,9.0
Cholesterol,0.0,MG,celery,0.0
"Fatty acids, total saturated",0.042,G,celery,0.21000000000000002
Protein,0.0,G,chambord,0.0
Total lipid (fat),0.0,G,chambord,0.0
"Carbohydrate, by difference",56.2,G,chambord,20.436363636363637
"Sodium, Na",0.0,MG,chambord,0.0
Protein,0.16,G,champagne,0.32
Total lipid (fat),0.08,G,champagne,0.10256410256410256
"Carbohydrate, by difference",12.2,G,champagne,4.4363636363636365
"Fiber, total dietary",0.1,G,champagne,0.35714285714285715
"Calcium, Ca",8.0,MG,champagne,0.6153846153846154
"Iron, Fe",0.25,MG,champagne,1.3888888888888888
"Magnesium, Mg",8.0,MG,champagne,1.9047619047619049
"Phosphorus, P",11.0,MG,champagne,0.88
"Potassium, K",83.0,MG,champagne,1.7659574468085106
"Sodium, Na",4.0,MG,champagne,0.17391304347826086
"Zinc, Zn",0.1,MG,champagne,0.9090909090909092
"Copper, Cu",0.038,MG,champagne,4.222222222222222
"Selenium, Se",0.2,UG,champagne,0.36363636363636365
"Vitamin A, RAE",0.0,UG,champagne,0.0
Vitamin E (alpha-tocopherol),0.01,MG,champagne,0.06666666666666667
Vitamin D (D2 + D3),0.0,UG,champagne,0.0
"Vitamin C, total ascorbic acid",4.0,MG,champagne,4.444444444444445
Thiamin,0.024,MG,champagne,2.0
Riboflavin,0.017,MG,champagne,1.3076923076923077
Niacin,0.134,MG,champagne,0.8375
Vitamin B-6,0.055,MG,champagne,3.2352941176470593
Vitamin B-12,0.0,UG,champagne,0.0
"Choline, total",3.0,MG,champagne,0.5454545454545455
Vitamin K (phylloquinone),0.1,UG,champagne,0.08333333333333334
"Folate, DFE",7.0,UG,champagne,1.7500000000000002
Cholesterol,0.0,MG,champagne,0.0
"Fatty acids, total saturated",0.005,G,champagne,0.025
Protein,1.88,G,chard,3.7599999999999993
Total lipid (fat),2.95,G,chard,3.7820512820512824
"Carbohydrate, by difference",3.9,G,chard,1.418181818181818
"Fiber, total dietary",1.7,G,chard,6.071428571428571
"Calcium, Ca",54.0,MG,chard,4.153846153846154
"Iron, Fe",1.88,MG,chard,10.444444444444443
"Magnesium, Mg",84.0,MG,chard,20.0
"Phosphorus, P",48.0,MG,chard,3.84
"Potassium, K",395,MG,chard,8.404255319148936
"Sodium, Na",352,MG,chard,15.304347826086955
"Zinc, Zn",0.38,MG,chard,3.4545454545454546
"Copper, Cu",0.186,MG,chard,20.666666666666668
"Selenium, Se",0.9,UG,chard,1.6363636363636365
"Vitamin A, RAE",315,UG,chard,35.0
Vitamin E (alpha-tocopherol),2.33,MG,chard,15.533333333333335
Vitamin D (D2 + D3),0.0,UG,chard,0.0
"Vitamin C, total ascorbic acid",21.9,MG,chard,24.333333333333332
Thiamin,0.038,MG,chard,3.166666666666667
Riboflavin,0.089,MG,chard,6.846153846153847
Niacin,0.396,MG,chard,2.475
Vitamin B-6,0.115,MG,chard,6.764705882352942
Vitamin B-12,0.0,UG,chard,0.0
"Choline, total",19.0,MG,chard,3.4545454545454546
Vitamin K (phylloquinone),866,UG,chard,721.6666666666666
"Folate, DFE",11.0,UG,chard,2.75
Cholesterol,2.0,MG,chard,0.6666666666666667
"Fatty acids, total saturated",0.752,G,chard,3.7600000000000002
Protein,1.34,G,chartreuse,2.68
Total lipid (fat),2.15,G,chartreuse,2.7564102564102564
"Carbohydrate, by difference",29.6,G,chartreuse,10.763636363636364
"Fiber, total dietary",1.8,G,chartreuse,6.42857142857143
"Calcium, Ca",39.0,MG,chartreuse,3.0
"Iron, Fe",0.12,MG,chartreuse,0.6666666666666666
"Magnesium, Mg",8.0,MG,chartreuse,1.9047619047619049
"Phosphorus, P",37.0,MG,chartreuse,2.96
"Potassium, K",134,MG,chartreuse,2.851063829787234
"Sodium, Na",62.0,MG,chartreuse,2.6956521739130435
"Zinc, Zn",0.14,MG,chartreuse,1.2727272727272727
"Copper, Cu",0.025,MG,chartreuse,2.777777777777778
"Selenium, Se",0.4,UG,chartreuse,0.7272727272727273
"Vitamin A, RAE",5.0,UG,chartreuse,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,chartreuse,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,chartreuse,0.0
"Vitamin C, total ascorbic acid",3.6,MG,chartreuse,4.0
Thiamin,0.038,MG,chartreuse,3.166666666666667
Riboflavin,0.084,MG,chartreuse,6.461538461538462
Niacin,0.105,MG,chartreuse,0.65625
Vitamin B-6,0.045,MG,chartreuse,2.6470588235294117
Vitamin B-12,0.08,UG,chartreuse,3.3333333333333335
"Choline, total",4.6,MG,chartreuse,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,chartreuse,1.7500000000000002
"Folate, DFE",3.0,UG,chartreuse,0.75
Cholesterol,2.0,MG,chartreuse,0.6666666666666667
"Fatty acids, total saturated",0.64,G,chartreuse,3.2
Protein,1.34,G,cheddar,2.68
Total lipid (fat),2.15,G,cheddar,2.7564102564102564
"Carbohydrate, by difference",29.6,G,cheddar,10.763636363636364
"Fiber, total dietary",1.8,G,cheddar,6.42857142857143
"Calcium, Ca",39.0,MG,cheddar,3.0
"Iron, Fe",0.12,MG,cheddar,0.6666666666666666
"Magnesium, Mg",8.0,MG,cheddar,1.9047619047619049
"Phosphorus, P",37.0,MG,cheddar,2.96
"Potassium, K",134,MG,cheddar,2.851063829787234
"Sodium, Na",62.0,MG,cheddar,2.6956521739130435
"Zinc, Zn",0.14,MG,cheddar,1.2727272727272727
"Copper, Cu",0.025,MG,cheddar,2.777777777777778
"Selenium, Se",0.4,UG,cheddar,0.7272727272727273
"Vitamin A, RAE",5.0,UG,cheddar,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,cheddar,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,cheddar,0.0
"Vitamin C, total ascorbic acid",3.6,MG,cheddar,4.0
Thiamin,0.038,MG,cheddar,3.166666666666667
Riboflavin,0.084,MG,cheddar,6.461538461538462
Niacin,0.105,MG,cheddar,0.65625
Vitamin B-6,0.045,MG,cheddar,2.6470588235294117
Vitamin B-12,0.08,UG,cheddar,3.3333333333333335
"Choline, total",4.6,MG,cheddar,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,cheddar,1.7500000000000002
"Folate, DFE",3.0,UG,cheddar,0.75
Cholesterol,2.0,MG,cheddar,0.6666666666666667
"Fatty acids, total saturated",0.64,G,cheddar,3.2
Protein,1.34,G,cheese,2.68
Total lipid (fat),2.15,G,cheese,2.7564102564102564
"Carbohydrate, by difference",29.6,G,cheese,10.763636363636364
"Fiber, total dietary",1.8,G,cheese,6.42857142857143
"Calcium, Ca",39.0,MG,cheese,3.0
"Iron, Fe",0.12,MG,cheese,0.6666666666666666
"Magnesium, Mg",8.0,MG,cheese,1.9047619047619049
"Phosphorus, P",37.0,MG,cheese,2.96
"Potassium, K",134,MG,cheese,2.851063829787234
"Sodium, Na",62.0,MG,cheese,2.6956521739130435
"Zinc, Zn",0.14,MG,cheese,1.2727272727272727
"Copper, Cu",0.025,MG,cheese,2.777777777777778
"Selenium, Se",0.4,UG,cheese,0.7272727272727273
"Vitamin A, RAE",5.0,UG,cheese,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,cheese,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,cheese,0.0
"Vitamin C, total ascorbic acid",3.6,MG,cheese,4.0
Thiamin,0.038,MG,cheese,3.166666666666667
Riboflavin,0.084,MG,cheese,6.461538461538462
Niacin,0.105,MG,cheese,0.65625
Vitamin B-6,0.045,MG,cheese,2.6470588235294117
Vitamin B-12,0.08,UG,cheese,3.3333333333333335
"Choline, total",4.6,MG,cheese,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,cheese,1.7500000000000002
"Folate, DFE",3.0,UG,cheese,0.75
Cholesterol,2.0,MG,cheese,0.6666666666666667
"Fatty acids, total saturated",0.64,G,cheese,3.2
Vitamin D (D2 + D3),0.0,UG,cherry,0.0
"Vitamin A, RAE",1.0,UG,cherry,0.1111111111111111
Protein,0.2,G,cherry,0.4
"Fiber, total dietary",0.3,G,cherry,1.0714285714285714
"Iron, Fe",0.35,MG,cherry,1.9444444444444444
"Magnesium, Mg",3.0,MG,cherry,0.7142857142857143
"Phosphorus, P",12.0,MG,cherry,0.96
"Sodium, Na",4.0,MG,cherry,0.17391304347826086
"Copper, Cu",0.02,MG,cherry,2.2222222222222223
"Vitamin C, total ascorbic acid",32.1,MG,cherry,35.66666666666667
Thiamin,0.01,MG,cherry,0.8333333333333334
Riboflavin,0.02,MG,cherry,1.5384615384615383
Vitamin B-12,0.0,UG,cherry,0.0
Cholesterol,0.0,MG,cherry,0.0
"Fatty acids, total saturated",0.02,G,cherry,0.1
